load_0,load_1,load_2,load_3,load_4,load_5,load_6,load_7,load_8,load_9,load_10,load_11,load_12,load_13,load_14,load_15,load_16,load_17,load_18,load_19
2.856164843,2.983105502,3.173516492,2.951370338,3.110046162,3.141781327,2.856164843,2.887900008,3.046575832,3.141781327,2.856164843,3.173516492,2.887900008,3.141781327,2.887900008,2.951370338,3.110046162,3.173516492,2.856164843,2.856164843
2.736466205,2.858086925,3.040518005,2.827681745,2.979707645,3.010112825,2.736466205,2.766871385,2.918897285,3.010112825,2.736466205,3.040518005,2.766871385,3.010112825,2.766871385,2.827681745,2.979707645,3.040518005,2.736466205,2.736466205
2.533316506,2.645908351,2.814796118,2.61776039,2.758500196,2.786648157,2.533316506,2.561464467,2.702204273,2.786648157,2.533316506,2.814796118,2.561464467,2.786648157,2.561464467,2.61776039,2.758500196,2.814796118,2.533316506,2.533316506
2.361160491,2.466100958,2.623511657,2.439865841,2.571041424,2.59727654,2.361160491,2.387395608,2.518571191,2.59727654,2.361160491,2.623511657,2.387395608,2.59727654,2.387395608,2.439865841,2.571041424,2.623511657,2.361160491,2.361160491
2.260172069,2.360624161,2.511302299,2.335511138,2.461076253,2.486189276,2.260172069,2.285285092,2.410850207,2.486189276,2.260172069,2.511302299,2.285285092,2.486189276,2.285285092,2.335511138,2.461076253,2.511302299,2.260172069,2.260172069
2.654826525,2.772818815,2.94980725,2.743320743,2.890811105,2.920309178,2.654826525,2.684324598,2.83181496,2.920309178,2.654826525,2.94980725,2.684324598,2.920309178,2.684324598,2.743320743,2.890811105,2.94980725,2.654826525,2.654826525
3.049480981,3.185013469,3.388312201,3.151130347,3.320545957,3.354429079,3.049480981,3.083364103,3.252779713,3.354429079,3.049480981,3.388312201,3.083364103,3.354429079,3.083364103,3.151130347,3.320545957,3.388312201,3.049480981,3.049480981
3.061293051,3.19735052,3.401436723,3.163336152,3.333407989,3.367422356,3.061293051,3.095307418,3.265379254,3.367422356,3.061293051,3.401436723,3.095307418,3.367422356,3.095307418,3.163336152,3.333407989,3.401436723,3.061293051,3.061293051
3.20488005,3.347319163,3.560977833,3.311709385,3.489758276,3.525368055,3.20488005,3.240489828,3.41853872,3.525368055,3.20488005,3.560977833,3.240489828,3.525368055,3.240489828,3.311709385,3.489758276,3.560977833,3.20488005,3.20488005
3.262026862,3.407005834,3.624474291,3.370761091,3.551984805,3.588229548,3.262026862,3.298271605,3.479495319,3.588229548,3.262026862,3.624474291,3.298271605,3.588229548,3.298271605,3.370761091,3.551984805,3.624474291,3.262026862,3.262026862
3.356282196,3.505450294,3.72920244,3.468158269,3.654618391,3.691910416,3.356282196,3.39357422,3.580034342,3.691910416,3.356282196,3.72920244,3.39357422,3.691910416,3.39357422,3.468158269,3.654618391,3.72920244,3.356282196,3.356282196
3.650173644,3.812403583,4.055748493,3.771846098,3.974633523,4.015191008,3.650173644,3.690731129,3.893518553,4.015191008,3.650173644,4.055748493,3.690731129,4.015191008,3.690731129,3.771846098,3.974633523,4.055748493,3.650173644,3.650173644
4.024937165,4.203823262,4.472152406,4.159101738,4.382709358,4.427430882,4.024937165,4.069658689,4.29326631,4.427430882,4.024937165,4.472152406,4.069658689,4.427430882,4.069658689,4.159101738,4.382709358,4.472152406,4.024937165,4.024937165
4.215125885,4.402464814,4.683473206,4.355630082,4.589803742,4.636638474,4.215125885,4.261960617,4.496134278,4.636638474,4.215125885,4.683473206,4.261960617,4.636638474,4.261960617,4.355630082,4.589803742,4.683473206,4.215125885,4.215125885
4.588112052,4.792028143,5.09790228,4.74104912,4.995944234,5.046923257,4.588112052,4.639091075,4.893986189,5.046923257,4.588112052,5.09790228,4.639091075,5.046923257,4.639091075,4.74104912,4.995944234,5.09790228,4.588112052,4.588112052
4.994403956,5.216377465,5.549337729,5.160884088,5.438350974,5.493844352,4.994403956,5.049897333,5.32736422,5.493844352,4.994403956,5.549337729,5.049897333,5.493844352,5.049897333,5.160884088,5.438350974,5.549337729,4.994403956,4.994403956
5.070669421,5.296032506,5.634077134,5.239691735,5.521395591,5.577736363,5.070669421,5.127010192,5.408714049,5.577736363,5.070669421,5.634077134,5.127010192,5.577736363,5.127010192,5.239691735,5.521395591,5.634077134,5.070669421,5.070669421
5.220587924,5.452614054,5.800653249,5.394607522,5.684640184,5.742646717,5.220587924,5.278594457,5.568627119,5.742646717,5.220587924,5.800653249,5.278594457,5.742646717,5.278594457,5.394607522,5.684640184,5.800653249,5.220587924,5.220587924
5.372964039,5.611762441,5.969960043,5.55206284,5.850560842,5.910260443,5.372964039,5.432663639,5.731161641,5.910260443,5.372964039,5.969960043,5.432663639,5.910260443,5.432663639,5.55206284,5.850560842,5.969960043,5.372964039,5.372964039
5.386639752,5.626045964,5.985155281,5.566194411,5.865452175,5.925303728,5.386639753,5.446491306,5.74574907,5.925303728,5.386639753,5.985155281,5.446491306,5.925303728,5.446491306,5.566194411,5.865452175,5.985155281,5.386639753,5.386639753
5.402070596,5.642162623,6.002300663,5.582139617,5.88225465,5.942277656,5.402070597,5.462093603,5.762208636,5.942277656,5.402070597,6.002300663,5.462093603,5.942277656,5.462093603,5.582139617,5.88225465,6.002300663,5.402070597,5.402070597
5.084370799,5.310342835,5.649300888,5.253849826,5.53631487,5.592807879,5.084370799,5.140863808,5.423328852,5.592807879,5.084370799,5.649300888,5.140863808,5.592807879,5.140863808,5.253849826,5.53631487,5.649300888,5.084370799,5.084370799
4.898319386,5.11602247,5.442577096,5.061596699,5.333725554,5.388151325,4.898319386,4.952745157,5.224874012,5.388151325,4.898319386,5.442577096,4.952745157,5.388151325,4.952745157,5.061596699,5.333725554,5.442577096,4.898319386,4.898319386
