scen0,scen1,scen2
4.197314169,4.608039235,5.062288908
4.042218005,4.416674505,4.801945181
3.9510182,4.306654231,4.65634366
3.922160999,4.27948005,4.619160145
3.948414978,4.321109972,4.66561057
4.023757212,4.418863461,4.77558264
4.143254619,4.56316059,4.93515951
4.300452498,4.744394549,5.132540882
4.485095551,4.94995134,5.354238082
4.682287712,5.163122818,5.583326459
4.87386009,5.36464994,5.80041307
5.042006148,5.536593299,5.987118595
5.17342941,5.66646569,6.13014697
5.261406242,5.74896457,6.22329914
5.305016751,5.784721329,6.26660961
5.30694728,5.777716711,6.263969102
5.271492929,5.73315716,6.22091366
5.203429911,5.65640156,6.143337665
5.10766597,5.55273721,6.037076582
4.98934884,5.42759118,5.908004398
4.85416649,5.28689318,5.762361059
4.708653652,5.13739795,5.607095769
4.56034457,4.98681504,5.45006578
4.417609642,4.843616612,5.299930508
