PV_0,PV_1,PV_2,PV_3,PV_4,PV_5,PV_6,PV_7,PV_8,PV_9,PV_10,PV_11,PV_12,PV_13,PV_14,PV_15,PV_16,PV_17,PV_18,PV_19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00587002,0,0,0.00587002,0,0,0,0.00587002,0.006457022,0,0.00587002,0,0,0.00587002,0,0,0,0.00587002,0.006457022,0
0.2656917,0.039585,0.035028,0.2656917,0.039585,0.035028,0.039585,0.2656917,0.29226087,0.04552275,0.2656917,0.039585,0.035028,0.2656917,0.039585,0.035028,0.039585,0.2656917,0.29226087,0.04552275
0.50001207,0.103282,0.097539,0.50001207,0.103282,0.097539,0.103282,0.50001207,0.550013277,0.1187743,0.50001207,0.103282,0.097539,0.50001207,0.103282,0.097539,0.103282,0.50001207,0.550013277,0.1187743
0.66035264,0.110845,0.098234,0.66035264,0.110845,0.098234,0.110845,0.66035264,0.726387904,0.12747175,0.66035264,0.110845,0.098234,0.66035264,0.110845,0.098234,0.110845,0.66035264,0.726387904,0.12747175
0.75025725,0.22355,0.402296,0.75025725,0.22355,0.402296,0.22355,0.75025725,0.825282975,0.2570825,0.75025725,0.22355,0.402296,0.75025725,0.22355,0.402296,0.22355,0.75025725,0.825282975,0.2570825
0.77558308,0.335618,0.330067,0.77558308,0.335618,0.330067,0.335618,0.77558308,0.853141388,0.3859607,0.77558308,0.335618,0.330067,0.77558308,0.335618,0.330067,0.335618,0.77558308,0.853141388,0.3859607
0.73911106,0.21355,0.150346,0.73911106,0.21355,0.150346,0.21355,0.73911106,0.813022166,0.2455825,0.73911106,0.21355,0.150346,0.73911106,0.21355,0.150346,0.21355,0.73911106,0.813022166,0.2455825
0.64272439,0.115383,0.114909,0.64272439,0.115383,0.114909,0.115383,0.64272439,0.706996829,0.13269045,0.64272439,0.115383,0.114909,0.64272439,0.115383,0.114909,0.115383,0.64272439,0.706996829,0.13269045
0.47718469,0.424714,0.490679,0.47718469,0.424714,0.490679,0.424714,0.47718469,0.524903159,0.4884211,0.47718469,0.424714,0.490679,0.47718469,0.424714,0.490679,0.424714,0.47718469,0.524903159,0.4884211
0.24267707,0.090144,0.043745,0.24267707,0.090144,0.043745,0.090144,0.24267707,0.266944777,0.1036656,0.24267707,0.090144,0.043745,0.24267707,0.090144,0.043745,0.090144,0.24267707,0.266944777,0.1036656
0,0.00394,0.002375,0,0.00394,0.002375,0.00394,0,0,0.004531,0,0.00394,0.002375,0,0.00394,0.002375,0.00394,0,0,0.004531
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
