mg number,es_capacity,pv_capacity,dg_capacity,charge_eff,discharge_eff,dg_eff,doc,dod,wtp,sv,pay_min,pay_max,shed_cost,es_cost,n_households,grid_price,tau
0,170,340,20,0.95,0.9,0.98,0.95,0.9,0.2764,1,0.07,0.25,0.75,0.03,40,0.14,1
1,100,150,30,0.95,0.9,0.98,0.95,0.9,0.2567,0.59,0.07,0.25,0.75,0.03,20,0.17,0.95
2,109,217,30,0.95,0.9,0.98,0.95,0.9,0.5157,0,0.07,0.25,0.75,0.03,20,0.14,0.9
3,130,310,25,0.95,0.9,0.98,0.95,0.9,0.2643,0.7,0.07,0.25,0.75,0.03,30,0.17,0.97
4,110,160,20,0.95,0.9,0.98,0.95,0.9,0.423,0.2,0.07,0.25,0.75,0.03,20,0.17,0.9
5,200,210,25,0.95,0.9,0.98,0.95,0.9,0.4986,0.1,0.07,0.25,0.75,0.03,25,0.14,0.9
6,150,220,30,0.95,0.9,0.98,0.95,0.9,0.2764,1,0.07,0.25,0.75,0.03,30,0.14,1
7,200,250,35,0.95,0.9,0.98,0.95,0.9,0.2431,0.9,0.07,0.25,0.75,0.03,20,0.17,0.97
8,120,280,25,0.95,0.9,0.98,0.95,0.9,0.276,0.4,0.07,0.25,0.75,0.03,40,0.14,0.93
9,200,220,30,0.95,0.9,0.98,0.95,0.9,0.4986,0.1,0.07,0.25,0.75,0.03,35,0.17,0.9
10,220,380,30,0.95,0.9,0.98,0.95,0.9,0.2764,1,0.07,0.25,0.75,0.03,40,0.14,1
11,100,150,30,0.95,0.9,0.98,0.95,0.9,0.5157,0,0.07,0.25,0.75,0.03,20,0.16,0.9
12,109,217,30,0.95,0.9,0.98,0.95,0.9,0.2431,0.9,0.07,0.25,0.75,0.03,20,0.14,0.97
13,130,310,25,0.95,0.9,0.98,0.95,0.9,0.4986,0.1,0.07,0.25,0.75,0.03,30,0.17,0.9
14,110,160,20,0.95,0.9,0.98,0.95,0.9,0.2331,0.9,0.07,0.25,0.75,0.03,20,0.15,0.97
15,200,210,25,0.95,0.9,0.98,0.95,0.9,0.2643,0.7,0.07,0.25,0.75,0.03,25,0.14,0.97
16,150,220,30,0.95,0.9,0.98,0.95,0.9,0.433,0.2,0.07,0.25,0.75,0.03,30,0.14,0.9
17,200,250,35,0.95,0.9,0.98,0.95,0.9,0.5157,0,0.07,0.25,0.75,0.03,20,0.15,0.9
18,120,280,25,0.95,0.9,0.98,0.95,0.9,0.2164,1,0.07,0.25,0.75,0.03,40,0.14,1
19,200,220,30,0.95,0.9,0.98,0.95,0.9,0.2364,1,0.07,0.25,0.75,0.03,35,0.17,1
